0,000;1,064;0,000;0,000;0,000;0,000;0,063;1,189;0,000;0,626;0,563;0,000;0,000;3,941;5,443;7,195;4,567;4,692;7,132;5,881;1,814;0,000;9,822;9,322;6,506;5,693;5,318;5,255;3,691;5,568;4,880;14,827;11,011;11,261;9,259;7,945;7,132;5,130;4,379;2,690;1,376;15,891;14,076;13,075;10,135;9,259;2,377;1,314;2,315;0,000;0,000;15,202;13,513;10,823;5,693;2,440;0,000;0,000;0,000;19,457;16,203;13,889;9,509;3,879;0,000;0,000;0,000;26,088;24,837;14,389;10,135;3,879;0,000;0,000;0,626;18,768;19,019;15,578;1,564;0,000;0,000;0,000;0,000;7,945;5,193;3,128;4,066;1,814;0,000;0,000;0,000;3,441;2,252;2,753;3,003;0,626;0,000;0,000;0,000;0,000;0,000;0,000;1,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,010;1,627;0,000;0,000;0,000;0,000;0,313;1,939;0,000;0,813;0,688;0,000;0,000;4,254;6,194;7,945;4,942;5,568;8,008;6,506;2,440;0,188;10,510;9,822;7,069;6,631;6,068;5,756;4,254;5,943;5,630;15,640;11,636;11,699;9,697;8,508;7,445;5,505;4,692;3,191;1,564;16,766;14,264;13,263;10,510;9,634;2,502;1,564;2,565;0,000;0,000;15,390;13,638;11,324;5,943;2,502;0,000;0,000;0,188;19,331;16,266;14,076;9,634;3,879;0,000;0,000;0,000;25,650;24,712;14,389;10,135;3,879;0,000;0,000;0,751;18,268;18,706;14,952;1,439;0,000;0,000;0,000;0,000;7,570;4,880;2,940;3,629;1,376;0,000;0,000;0,000;3,253;1,814;2,315;2,565;0,375;0,000;0,000;0,000;0,000;0,000;0,000;0,751;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,020;1,939;0,125;0,000;0,000;0,000;0,626;2,502;0,313;1,251;0,876;0,000;0,000;4,817;7,632;8,633;5,756;6,256;8,571;7,007;2,940;1,189;11,636;10,260;7,758;7,570;6,694;6,194;4,755;6,319;6,569;16,454;12,137;12,074;10,010;9,196;7,758;5,818;5,067;3,816;1,752;17,580;14,452;13,451;10,948;10,072;2,628;1,814;2,940;0,000;0,000;15,453;13,638;11,699;6,131;2,628;0,000;0,000;0,438;19,019;16,078;14,076;9,697;3,879;0,000;0,000;0,000;24,399;24,274;14,201;10,135;3,879;0,000;0,000;1,001;17,455;18,205;14,326;1,251;0,000;0,000;0,000;0,000;7,007;4,504;2,690;2,940;0,813;0,000;0,000;0,000;2,815;1,439;2,002;2,002;0,188;0,000;0,000;0,000;0,000;0,000;0,000;0,626;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,030;2,377;0,500;0,000;0,000;0,000;0,876;3,128;0,751;1,564;1,251;0,375;0,313;5,318;8,321;9,697;6,694;6,757;8,946;7,507;3,503;2,065;12,512;11,324;8,321;8,383;7,257;6,819;5,193;6,631;7,320;17,079;12,637;12,888;10,260;9,760;8,196;6,131;5,505;4,379;2,127;18,330;14,702;13,701;11,511;10,698;2,815;2,252;3,128;0,313;0,000;15,578;13,763;12,074;6,319;2,815;0,188;0,000;0,751;18,581;15,953;14,076;9,822;3,941;0,000;0,000;0,000;23,210;23,773;14,076;10,072;3,816;0,000;0,000;1,064;16,328;17,517;13,638;1,189;0,000;0,000;0,000;0,000;6,444;4,129;2,440;2,565;0,250;0,000;0,000;0,000;2,815;1,251;1,439;1,376;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,500;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,040;3,003;1,376;0,000;0,000;0,000;1,251;3,879;1,189;2,065;1,564;1,001;1,001;5,881;8,821;10,448;8,196;7,257;9,384;8,196;4,254;3,128;13,138;12,262;8,884;9,134;7,883;7,632;5,630;7,007;7,945;17,517;13,075;13,388;10,823;10,260;8,759;6,569;5,943;4,817;2,878;20,207;15,140;13,951;12,012;11,761;3,003;2,565;3,566;0,751;0,000;15,703;13,889;12,575;6,569;3,003;0,313;0,063;0,938;18,268;15,703;14,139;9,885;4,066;0,000;0,000;0,188;22,585;22,772;13,826;10,260;3,816;0,000;0,000;1,064;14,702;16,954;13,138;1,189;0,000;0,000;0,000;0,063;5,568;3,629;2,127;2,377;0,000;0,000;0,000;0,000;2,628;0,938;1,126;0,938;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,050;3,441;1,877;0,000;0,000;0,751;1,939;4,755;1,564;2,502;2,002;1,501;1,439;6,381;9,259;11,887;9,196;8,070;9,885;8,696;5,318;4,066;13,826;13,263;9,384;10,010;8,446;8,258;6,006;7,570;8,508;18,205;13,576;14,264;11,511;10,886;9,447;7,007;6,506;5,318;3,503;22,334;15,453;14,139;12,512;12,575;3,316;2,940;3,754;1,064;0,000;15,891;14,014;12,762;6,882;3,191;0,500;0,250;1,064;17,955;15,453;14,201;10,072;4,129;0,000;0,000;0,250;21,834;22,397;13,701;10,197;3,691;0,000;0,000;1,001;14,389;16,391;12,387;1,001;0,000;0,000;0,000;0,063;5,005;3,191;1,939;1,752;0,000;0,000;0,000;0,000;2,628;0,813;0,938;0,375;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,060;4,004;2,315;0,000;0,000;1,627;2,815;5,505;2,190;3,191;2,565;1,877;1,877;7,007;9,760;13,013;9,822;9,071;10,260;9,572;6,131;5,005;14,452;13,951;10,072;11,261;9,009;8,696;6,944;8,070;9,009;19,519;14,076;15,202;12,137;11,574;10,260;7,695;6,882;5,818;4,192;23,898;16,016;14,452;12,888;13,138;3,503;3,128;4,129;1,564;0,313;16,328;14,201;13,013;7,132;3,316;0,626;0,250;1,251;17,955;15,515;14,326;10,135;4,129;0,000;0,000;0,250;21,271;22,084;13,701;10,135;3,503;0,000;0,000;1,001;14,201;15,953;11,824;0,751;0,000;0,000;0,000;0,000;4,504;2,628;1,627;1,501;0,000;0,000;0,000;0,000;2,502;0,688;0,626;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,070;4,817;2,753;0,000;0,000;2,565;3,629;6,068;2,878;3,879;2,940;2,440;2,753;7,695;10,135;13,889;10,635;10,010;11,073;10,072;7,195;5,818;15,202;14,639;11,073;12,387;9,572;9,134;7,758;8,571;9,384;21,458;15,327;16,579;12,700;12,450;11,136;8,258;7,382;6,319;4,692;25,650;16,829;14,890;13,263;13,701;3,691;3,316;4,254;1,877;0,500;16,704;14,577;13,326;7,382;3,378;0,626;0,313;1,314;18,018;15,640;14,452;10,260;4,066;0,000;0,000;0,000;20,708;21,834;13,638;9,947;3,191;0,000;0,000;0,751;13,889;15,453;11,386;0,313;0,000;0,000;0,000;0,000;4,004;2,440;1,501;1,189;0,000;0,000;0,000;0,000;2,440;0,626;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,080;5,630;3,629;0,000;0,000;3,378;4,755;6,882;3,566;4,504;3,691;3,003;3,441;8,070;10,886;14,890;11,949;11,136;11,887;10,948;7,945;6,631;16,266;15,453;11,949;13,451;10,197;9,634;8,446;9,009;9,634;24,336;16,641;17,642;13,138;13,263;12,387;9,071;7,820;6,757;5,193;28,215;18,205;15,640;13,576;14,264;3,941;3,441;4,379;2,190;0,688;17,392;14,952;13,701;7,632;3,316;0,500;0,000;1,251;18,205;15,515;14,639;10,260;3,816;0,000;0,000;0,000;20,270;21,333;13,326;9,447;2,565;0,000;0,000;0,375;13,451;14,702;10,886;0,000;0,000;0,000;0,000;0,000;3,629;2,190;1,251;1,064;0,000;0,000;0,000;0,000;2,190;0,688;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,090;6,319;4,755;0,250;0,000;4,066;5,630;7,758;4,317;5,380;4,317;3,503;4,066;8,571;12,012;15,640;13,138;12,450;12,575;12,074;8,571;7,507;17,392;16,766;12,762;14,389;10,948;10,135;9,259;9,572;9,947;27,339;17,642;19,081;13,451;13,889;13,138;9,509;8,196;7,320;5,505;30,467;19,644;16,391;13,889;14,639;4,129;3,441;4,317;2,252;0,876;17,705;15,202;13,951;7,758;3,003;0,063;0,000;0,876;17,830;15,015;14,639;10,072;2,940;0,000;0,000;0,000;19,582;20,457;12,950;8,696;1,877;0,000;0,000;0,000;12,387;13,638;10,135;0,000;0,000;0,000;0,000;0,000;3,191;1,564;0,876;0,876;0,000;0,000;0,000;0,000;1,501;0,438;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
